date,level
1971, 1252.9999
1972, 1661.9999
1973, 1953.0001
1974, 1987.9999
1975, 1980.0001
1976, 2220.0001
1977, 2360
1978, 2457
1979, 2560
1980, 2456
1981, 2314.0001
1982, 2600
1983, 2906
1984, 3168
1985, 3200.0001
1986, 3739
1987, 3668.9998
1988, 4037.1099
1989, 4185.08336
1990, 4154.645079
1991, 4116.965696
1992, 3647.764219
1993, 3329.416465
1994, 3510.434935
1995, 3492.936334
1996, 3588.663602
1997, 3515.76805
1998, 3634.690441
1999, 3910.07578
2000, 4145.155571
2001, 3960.233842
2002, 4069.477844
2003, 4263.219351
2004, 4573.379273
2005, 4961.787
2006, 5124.891004
2007, 5146.209
2008, 4452.341
2009, 4280.286111
2010, 4534.85138
2011, 4636.89
